time_ms,weight_kg,sync
142701.0,0.4847,0
142714.0,0.4472,0
142729.0,0.3885,0
142743.0,0.4247,0
142756.0,0.3746,0
142769.0,0.357,0
142783.0,0.2982,0
142796.0,0.4113,0
142809.0,0.2979,0
142823.0,0.327,0
142836.0,0.321,0
142849.0,0.3153,0
142863.0,0.3218,0
142876.0,0.4753,0
142889.0,0.3905,0
142903.0,0.4382,0
142916.0,0.4369,0
142929.0,0.5082,0
142943.0,0.4343,0
142956.0,0.4986,0
142969.0,0.4196,0
142983.0,0.5051,0
142996.0,0.4224,0
143009.0,0.4226,0
143023.0,0.3386,0
143036.0,0.4194,0
143049.0,0.3722,0
143063.0,0.4146,0
143076.0,0.3584,0
143089.0,0.3814,0
143103.0,0.3786,0
143116.0,0.4733,0
143129.0,0.3637,0
143143.0,0.4207,0
143156.0,0.4265,0
143169.0,0.4838,0
143183.0,0.4316,0
143196.0,0.5997,0
143209.0,0.5306,0
143223.0,0.5862,0
143236.0,0.5366,0
143263.0,0.5609,0
143276.0,0.5906,0
143289.0,0.4875,0
143303.0,0.5874,0
143316.0,0.5542,0
143329.0,0.4539,0
143343.0,0.4658,0
143356.0,0.5694,0
143369.0,0.3809,0
143383.0,0.4094,0
143396.0,0.4238,0
143409.0,0.4369,0
143423.0,0.3559,0
143436.0,0.4399,0
143449.0,0.3543,0
143463.0,0.478,0
143476.0,0.381,0
143489.0,0.4257,0
143503.0,0.4096,0
143516.0,0.4584,0
143529.0,0.3613,0
143543.0,0.4204,0
143556.0,0.3701,0
143569.0,0.4532,0
143583.0,0.302,0
143596.0,0.44,0
143609.0,0.4421,0
143623.0,0.4774,0
143636.0,0.3706,0
143649.0,0.4366,0
143663.0,0.3769,0
143676.0,0.4155,0
143689.0,0.3433,0
143703.0,0.4498,0
143716.0,0.3401,0
143729.0,0.357,0
143743.0,0.3054,0
143756.0,0.3955,0
143769.0,0.3557,0
143783.0,0.4216,0
143796.0,0.3304,0
143809.0,0.4657,0
143823.0,0.387,0
143836.0,0.483,0
143849.0,0.4811,0
143863.0,0.5495,0
143876.0,0.4241,0
143889.0,0.4661,0
143903.0,0.5126,0
143916.0,0.5586,0
143929.0,0.4251,0
143943.0,0.5203,0
143956.0,0.537,0
143969.0,0.5437,0
143983.0,0.5216,0
