time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1981698.0,-2.2316,0.3112,0.3926,9.7157,2.313,-1.835,0
1981748.0,-2.1468,0.4741,0.5171,9.8737,2.995,-2.749,0
1981798.0,-2.1699,0.431,0.8236,9.8497,4.775,-2.505,0
1981848.0,-2.1776,0.5555,0.5794,9.6295,3.438,-3.301,0
1981898.0,-2.1424,0.5171,1.1013,9.6199,6.522,-3.077,0
1981948.0,-2.0668,0.3783,0.4357,9.6965,2.571,-2.234,0
1981998.0,-2.1624,0.3543,0.5698,9.6151,3.389,-2.111,0
1982048.0,-2.0279,0.3591,0.4741,9.6917,2.798,-2.122,0
1982098.0,-2.0255,0.4788,0.6273,9.7588,3.673,-2.809,0
1982148.0,-2.1278,0.5602,0.7518,9.7396,4.407,-3.292,0
1982198.0,-2.2067,0.5028,0.316,9.8306,1.839,-2.928,0
1982248.0,-2.2538,0.2394,0.3543,9.663,2.099,-1.419,0
1982298.0,-2.2733,0.3448,0.4262,9.8114,2.486,-2.012,0
1982348.0,-2.2296,0.4932,0.4788,9.8162,2.789,-2.876,0
1982398.0,-2.199,0.407,0.68,9.7061,4.004,-2.401,0
1982448.0,-2.0994,0.498,0.7518,9.5816,4.48,-2.975,0
1982498.0,-2.0936,0.407,0.5459,9.7588,3.199,-2.388,0
1982548.0,-2.1113,0.3017,0.4405,9.7061,2.597,-1.78,0
1982598.0,-2.1857,0.3879,0.407,9.663,2.41,-2.299,0
1982648.0,-2.1772,0.34,0.2634,9.663,1.56,-2.015,0
1982698.0,-2.1816,0.5267,0.4884,9.9072,2.818,-3.043,0
1982748.0,-2.0288,0.498,0.5459,9.6582,3.231,-2.952,0
1982798.0,-2.0434,0.4597,0.5698,9.7492,3.341,-2.7,0
1982848.0,-2.0383,0.2873,0.5219,9.7061,3.077,-1.695,0
1982898.0,-2.0789,0.4118,0.5028,9.7348,2.954,-2.422,0
1982948.0,-2.1244,0.2873,0.431,9.6582,2.554,-1.704,0
1982998.0,-2.1098,0.4357,0.3974,9.663,2.353,-2.582,0
1983048.0,-2.0197,0.4453,1.0247,9.663,6.047,-2.639,0
1983098.0,-2.0,0.498,0.5986,9.6103,3.559,-2.966,0
1983148.0,-2.1352,0.3352,0.6081,9.7588,3.564,-1.967,0
1983198.0,-2.0929,0.3543,0.4549,9.6582,2.695,-2.101,0
1983248.0,-2.0187,0.3496,0.3065,9.7827,1.793,-2.046,0
1983298.0,-2.1122,0.4453,0.2107,9.7061,1.242,-2.627,0
1983348.0,-2.0769,0.589,0.5507,9.821,3.203,-3.432,0
1983398.0,-2.127,0.3735,0.6321,9.8593,3.666,-2.169,0
1983448.0,-2.0468,0.2442,0.6608,9.6438,3.919,-1.451,0
1983498.0,-2.1526,0.3208,0.4597,9.5768,2.747,-1.919,0
1983548.0,-2.1227,0.3735,0.6177,9.8114,3.6,-2.18,0
1983598.0,-2.1062,0.316,0.431,9.821,2.511,-1.843,0
1983648.0,-2.0373,0.4836,0.5363,9.7444,3.146,-2.841,0
1983698.0,-2.0991,0.3591,0.7374,9.6582,4.363,-2.13,0
1983748.0,-2.1197,0.2346,0.8045,9.6534,4.762,-1.392,0
1983798.0,-2.096,0.3304,0.5171,9.6822,3.056,-1.954,0
1983848.0,-2.0037,0.4166,0.5938,9.7444,3.484,-2.448,0
1983898.0,-2.044,0.4597,0.3926,9.7779,2.297,-2.692,0
1983948.0,-2.0986,0.3639,0.4932,9.7061,2.907,-2.147,0
1983998.0,-2.1695,0.4357,0.8763,9.7396,5.136,-2.562,0
1984048.0,-2.0645,0.34,0.7614,9.663,4.502,-2.015,0
1984098.0,-2.062,0.4214,0.5842,9.6917,3.446,-2.49,0
1984148.0,-2.0196,0.34,0.4262,9.7013,2.514,-2.007,0
1984198.0,-1.9767,0.2969,0.3448,9.6295,2.05,-1.766,0
1984248.0,-1.9464,0.3256,0.4693,9.6055,2.795,-1.941,0
1984298.0,-2.0081,0.3879,0.3591,9.7348,2.111,-2.282,0
1984348.0,-2.0342,0.2011,0.7757,9.6438,4.598,-1.195,0
1984398.0,-2.1118,0.4022,0.7039,9.754,4.124,-2.361,0
1984448.0,-2.1862,0.2825,0.5028,9.6343,2.986,-1.68,0
1984498.0,-2.1329,0.3304,0.4645,9.6486,2.754,-1.961,0
1984548.0,-2.0403,0.3208,0.3687,9.6391,2.189,-1.906,0
1984598.0,-2.0074,0.3879,1.1061,9.7205,6.487,-2.285,0
1984648.0,-2.1687,0.2969,0.8571,9.7109,5.042,-1.751,0
1984698.0,-2.2604,0.3639,0.5842,9.7013,3.444,-2.148,0
1984748.0,-2.158,0.1915,0.6369,9.6007,3.794,-1.143,0
1984798.0,-2.1766,0.4118,0.4597,9.7157,2.706,-2.427,0
1984848.0,-2.2165,0.4549,0.431,9.7396,2.531,-2.674,0
1984898.0,-2.2316,0.3352,1.0056,9.5433,6.011,-2.012,0
1984948.0,-2.2194,0.4262,1.0199,9.5912,6.064,-2.544,0
1984998.0,-2.1875,0.2921,0.8092,9.6774,4.778,-1.729,0
1985048.0,-2.1989,0.2586,0.589,9.572,3.52,-1.547,0
1985098.0,-2.1923,0.316,0.3974,9.6103,2.367,-1.883,0
1985148.0,-2.0757,0.3017,0.5555,9.6917,3.279,-1.783,0
1985198.0,-2.0743,0.3639,1.1779,9.6917,6.925,-2.15,0
1985248.0,-2.0577,0.3352,1.0774,9.6534,6.364,-1.989,0
1985298.0,-2.0304,0.3974,0.8475,9.6678,5.006,-2.354,0
1985348.0,-1.9635,0.2011,0.9242,9.6055,5.494,-1.199,0
1985398.0,-2.0118,0.407,0.7805,9.8067,4.547,-2.377,0
1985448.0,-2.0244,0.3496,0.6177,9.73,3.63,-2.057,0
1985498.0,-2.0001,0.3879,0.5267,9.7636,3.086,-2.275,0
1985548.0,-2.0441,0.2203,1.0487,9.596,6.235,-1.315,0
1985598.0,-2.1278,0.3448,1.1157,9.7013,6.556,-2.035,0
1985648.0,-2.0648,0.2011,0.8571,9.6391,5.08,-1.195,0
1985698.0,-2.0913,0.3639,0.7709,9.5864,4.595,-2.174,0
1985748.0,-2.0569,0.2825,0.8045,9.6343,4.771,-1.68,0
1985798.0,-2.041,0.3112,1.221,9.6774,7.188,-1.842,0
1985848.0,-1.9739,0.2394,1.1923,9.505,7.148,-1.443,0
1985898.0,-2.0593,0.34,0.9481,9.6343,5.617,-2.021,0
1985948.0,-2.0782,0.2873,0.8523,9.6965,5.021,-1.697,0
1985998.0,-2.1736,0.2921,0.8284,9.7348,4.862,-1.719,0
1986048.0,-2.1139,0.2825,0.4884,9.6391,2.899,-1.679,0
1986098.0,-2.14,0.3879,0.4836,9.6438,2.869,-2.303,0
1986148.0,-2.1672,0.2634,1.0534,9.6007,6.259,-1.571,0
1986198.0,-2.1597,0.3783,1.1636,9.8114,6.758,-2.208,0
1986248.0,-2.1427,0.2729,0.7518,9.6438,4.456,-1.621,0
1986298.0,-2.1367,0.3639,0.7518,9.6917,4.432,-2.15,0
1986348.0,-2.0576,0.316,0.8092,9.6486,4.792,-1.876,0
1986398.0,-2.0555,0.3926,0.5555,9.6965,3.276,-2.319,0
1986448.0,-2.141,0.2682,0.9385,9.7013,5.524,-1.583,0
1986498.0,-2.1508,0.3304,1.2354,9.6343,7.303,-1.964,0
1986548.0,-2.1477,0.1676,1.0918,9.6486,6.455,-0.995,0
1986598.0,-2.1167,0.3256,0.9673,9.6582,5.716,-1.931,0
1986648.0,-2.0231,0.3735,0.7949,9.6917,4.685,-2.207,0
1986698.0,-2.0509,0.3208,0.6991,9.7252,4.109,-1.889,0
1986748.0,-2.0434,0.249,1.0151,9.6103,6.028,-1.484,0
1986798.0,-2.0444,0.2682,1.0774,9.7061,6.332,-1.583,0
1986848.0,-2.0299,0.2346,1.087,9.6247,6.442,-1.396,0
1986898.0,-2.0776,0.3208,0.905,9.663,5.348,-1.902,0
1986948.0,-2.0667,0.2825,0.9816,9.6582,5.801,-1.676,0
1986998.0,-2.1742,0.3591,0.8475,9.8019,4.939,-2.098,0
1987048.0,-2.2217,0.34,1.0295,9.6534,6.084,-2.017,0
1987098.0,-2.2288,0.2298,1.1684,9.5816,6.95,-1.374,0
1987148.0,-2.1152,0.249,1.0008,9.6582,5.914,-1.477,0
1987198.0,-2.0635,0.2298,1.0487,9.6438,6.204,-1.365,0
1987248.0,-2.0661,0.2203,0.8475,9.6199,5.034,-1.312,0
1987298.0,-2.2122,0.3783,0.8236,9.8019,4.799,-2.21,0
1987348.0,-2.1996,0.3065,0.9146,9.6391,5.417,-1.821,0
1987398.0,-2.16,0.2682,1.0247,9.5816,6.102,-1.603,0
1987448.0,-2.1921,0.249,1.3264,9.6534,7.821,-1.478,0
1987498.0,-2.1138,0.316,1.1779,9.6774,6.936,-1.87,0
1987548.0,-2.0326,0.1867,1.0295,9.6295,6.101,-1.111,0
1987598.0,-2.0918,0.2921,0.7949,9.596,4.733,-1.743,0
1987648.0,-2.0685,0.3256,1.0295,9.6774,6.069,-1.927,0
1987698.0,-2.0736,0.249,1.0965,9.6534,6.478,-1.478,0
1987748.0,-2.084,0.2825,1.0008,9.6343,5.928,-1.68,0
1987798.0,-2.1606,0.3831,1.2019,9.7492,7.023,-2.25,0
1987848.0,-2.1136,0.2059,1.1205,9.6678,6.61,-1.22,0
1987898.0,-2.1191,0.3831,0.9433,9.6774,5.563,-2.267,0
1987948.0,-2.0569,0.1963,0.7039,9.821,4.099,-1.145,0
1987998.0,-2.0966,0.3112,1.0582,9.663,6.247,-1.845,0
1988048.0,-2.143,0.2155,0.9864,9.6534,5.833,-1.279,0
1988098.0,-2.2033,0.34,1.2402,9.6343,7.331,-2.021,0
1988148.0,-2.139,0.3543,1.1301,9.7444,6.611,-2.083,0
1988198.0,-2.1009,0.3591,0.9912,9.8258,5.757,-2.093,0
1988248.0,-2.1384,0.2346,0.7374,9.7396,4.329,-1.38,0
1988298.0,-2.1638,0.2538,1.0678,9.6726,6.298,-1.503,0
1988348.0,-2.183,0.1867,1.063,9.6391,6.292,-1.11,0
1988398.0,-2.1549,0.2586,1.1253,9.7588,6.575,-1.518,0
1988448.0,-2.1099,0.2729,1.063,9.6678,6.272,-1.617,0
1988498.0,-2.0739,0.3256,0.9816,9.6869,5.783,-1.925,0
1988548.0,-2.1162,0.2969,1.1349,9.6678,6.692,-1.759,0
1988598.0,-2.1969,0.1724,1.0822,9.6822,6.377,-1.02,0
1988648.0,-2.1986,0.1484,1.0295,9.6295,6.102,-0.883,0
1988698.0,-2.1956,0.182,0.9625,9.6438,5.698,-1.081,0
1988748.0,-2.1301,0.2394,1.1061,9.7013,6.503,-1.414,0
1988798.0,-2.0407,0.3065,1.1636,9.7109,6.829,-1.808,0
1988848.0,-1.979,0.2203,0.565,9.7492,3.316,-1.294,0
1988898.0,-1.9313,0.158,0.972,9.821,5.652,-0.922,0
1988948.0,-1.9767,0.2873,0.7326,9.7061,4.315,-1.695,0
1988998.0,-2.0194,0.2777,1.0008,9.6917,5.893,-1.641,0
1989048.0,-2.1037,0.3256,1.0439,9.8258,6.061,-1.898,0
