0.002,-0.016,0.038,-22.89,-3.39,0
0.009,-0.028,-0.022,-49.29,-156.93,0
0.012,0.03,0.014,58.4,-40.55,0
0.021,-0.04,-0.02,-53.91,-132.67,0
-0.022,-0.011,0.023,-19.3,42.87,0
-0.007,-0.03,0.035,-40.03,11.73,0
-0.003,0.001,0.035,1.29,4.13,0
-0.012,-0.016,0.019,-35.71,33.12,0
0.019,0.027,-0.017,46.55,-132.36,0
-0,-0.009,0.021,-22.7,0.44,0
0.014,-0.002,0.014,-4.61,-45.82,0
0.012,-0.016,0.028,-27.59,-22.75,0
0.009,0.01,0.014,31.83,-34.3,0
0.014,0.006,0.033,8.85,-23.32,0
0.036,0.003,-0.022,4.34,-121.73,0
0.002,0.041,0.052,38.51,-2.46,0
0.002,0.022,0.016,53.8,-7.85,0
0.033,0.006,-0.051,5.25,-146.73,0
0.005,-0.011,-0.013,-39.91,-159.73,0
0.012,0.03,0.007,65.36,-60.72,0
-0.005,-0.011,0.019,-30.14,14.9,0
0.002,0.008,-0.01,37.55,-167.57,0
0.017,-0.018,-0.001,-47.86,-91.93,0
0.038,-0.014,0.004,-19.47,-83.67,0
-0.022,0.003,-0.034,4.52,147.5,0
0.019,-0.016,-0.001,-40.03,-91.69,0
0.019,-0.023,0.019,-41.05,-45.61,0
-0.017,0.01,0.011,26.95,56,0
0.014,-0.014,0.028,-23.27,-26.76,0
0.005,-0.006,0.021,-16.54,-12.44,0
-0.015,-0.002,-0.044,-1.99,161.6,0
-0.041,-0.009,0.009,-11.85,77.56,0
-0.007,-0.021,0.007,-64.52,47.95,0
0.007,-0.009,0.014,-29.54,-26.96,0
-0.007,-0.004,-0.051,-4.44,171.78,0
0.012,-0.002,-0.001,-7.69,-92.71,0
0.009,-0.002,0.035,-2.5,-14.92,0
0.019,0.03,0.019,48.01,-45.61,0
-0.012,-0.002,-0.027,-3.1,155.72,0
0.002,0.008,0.002,70.08,-50.61,0
0.009,0.015,0.016,38.98,-30.17,0
0.021,-0.026,-0.008,-48.31,-109.9,0
-0.017,0.015,-0.001,41.85,91.9,0
0.017,-0.018,0.007,-45.76,-68.25,0
0.012,-0.002,0.047,-1.87,-14.01,0
-0.01,-0.018,-0.01,-52.56,136.15,0
0.012,-0.009,0.004,-34.98,-70.3,0
0.002,0.013,-0.001,79.77,-104.06,0
-0.029,-0.011,-0.022,-17.07,127.42,0
0.038,-0.004,-0.022,-5.17,-120.09,0
-0.015,0.008,0.011,23.37,51.84,0
0.029,0.013,0.009,23.08,-72.48,0
0.007,-0.014,-0.025,-28.03,-164.01,0
-0.026,-0.004,0.004,-8.46,80.93,0
0.017,-0.018,0.011,-42.34,-55.49,0
-0.012,-0.03,-0.013,-60.1,135.93,0
0.019,0.001,-0.027,1.39,-144.77,0
0.012,0.013,0.033,20.04,-19.72,0
0.009,-0.009,0.019,-22.84,-26.86,0
