time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
6.016089,video,,,,,,,,0.000000,106.239223,0
6.032754,video,,,,,,,,-0.397329,105.655616,0
6.049420,video,,,,,,,,0.549395,106.976826,0
6.066085,video,,,,,,,,0.628735,106.831803,0
6.082750,video,,,,,,,,0.944350,106.693326,0
6.099415,video,,,,,,,,0.000000,105.653076,0
6.116080,video,,,,,,,,0.786980,106.688898,0
6.132745,video,,,,,,,,1.023030,106.695841,0
6.149410,video,,,,,,,,1.103221,106.552049,0
6.166075,video,,,,,,,,1.023030,106.695841,0
6.182740,video,,,,,,,,0.158934,105.653482,0
6.199405,video,,,,,,,,0.948257,106.253775,0
6.216070,video,,,,,,,,0.791328,106.102806,0
6.232735,video,,,,,,,,1.023030,106.695841,0
6.249400,video,,,,,,,,1.023030,106.695841,0
6.266065,video,,,,,,,,0.629599,106.685275,0
6.282730,video,,,,,,,,0.788063,106.542375,0
6.299396,video,,,,,,,,0.945649,106.546809,0
6.316061,video,,,,,,,,1.103221,106.552049,0
6.332726,video,,,,,,,,-0.482141,104.484480,0
6.349391,video,,,,,,,,0.396230,105.948683,0
6.366056,video,,,,,,,,0.857424,107.716653,0
6.382721,video,,,,,,,,0.472207,106.682457,0
6.399386,video,,,,,,,,0.158057,106.239628,0
6.416051,video,,,,,,,,0.000000,106.532297,0
6.432716,video,,,,,,,,0.078811,106.532398,0
6.449381,video,,,,,,,,0.315242,106.533910,0
6.466046,video,,,,,,,,0.393509,106.681350,0
6.482711,video,,,,,,,,0.550148,106.830296,0
6.499376,video,,,,,,,,0.553947,106.097645,0
6.516041,video,,,,,,,,-0.079029,106.239325,0
6.532707,video,,,,,,,,0.078595,106.825471,0
6.549372,video,,,,,,,,0.000000,106.678834,0
6.566037,video,,,,,,,,0.472207,106.682457,0
6.582702,video,,,,,,,,0.000000,106.678834,0
6.599367,video,,,,,,,,-0.783751,107.128467,0
6.616032,video,,,,,,,,-0.793520,105.809760,0
6.632697,video,,,,,,,,-0.077531,108.290839,0
6.649362,video,,,,,,,,-0.397329,105.655616,0
6.666027,video,,,,,,,,-0.313946,106.973514,0
6.682692,video,,,,,,,,-0.555482,105.804585,0
6.699357,video,,,,,,,,-0.627874,106.978331,0
6.716022,video,,,,,,,,-0.313517,107.120048,0
6.749352,video,,,,,,,,-0.393509,106.681350,0
6.766017,video,,,,,,,,0.000000,106.092687,0
6.782683,video,,,,,,,,-2.395915,105.158857,0
6.799348,video,,,,,,,,-2.970609,104.621366,0
6.816013,video,,,,,,,,-0.553183,106.244175,0
6.832678,video,,,,,,,,-0.474161,106.242862,0
6.849343,video,,,,,,,,0.076599,109.609669,0
6.866008,video,,,,,,,,-0.395137,106.241750,0
6.882673,video,,,,,,,,-0.396230,105.948683,0
6.899338,video,,,,,,,,-0.314377,106.826979,0
6.916003,video,,,,,,,,0.476131,105.803266,0
6.932668,video,,,,,,,,-0.632204,106.245691,0
6.949333,video,,,,,,,,-0.629599,106.685275,0
6.965998,video,,,,,,,,-0.556252,105.658055,0
6.982663,video,,,,,,,,-0.470914,106.975521,0
6.999328,video,,,,,,,,-0.870449,106.104931,0
7.015993,video,,,,,,,,-0.786980,106.688898,0
7.032659,video,,,,,,,,-1.348820,105.828936,0
7.049324,video,,,,,,,,-0.945649,106.546809,0
7.065989,video,,,,,,,,-1.434087,105.393014,0
7.082654,video,,,,,,,,-0.550904,106.683765,0
7.099319,video,,,,,,,,-0.314377,106.826979,0
7.115984,video,,,,,,,,-0.870449,106.104931,0
7.132649,video,,,,,,,,-1.505352,105.982727,0
7.149314,video,,,,,,,,-0.948257,106.253775,0
7.165979,video,,,,,,,,-0.866858,106.544491,0
7.182644,video,,,,,,,,-0.869249,106.251451,0
7.199309,video,,,,,,,,-0.948257,106.253775,0
7.215974,video,,,,,,,,-1.752592,105.409312,0
7.232639,video,,,,,,,,-1.267749,105.972089,0
7.249304,video,,,,,,,,-0.630465,106.538747,0
7.265969,video,,,,,,,,-0.871653,105.958411,0
7.282635,video,,,,,,,,-0.870449,106.104931,0
7.299300,video,,,,,,,,-1.032960,105.670248,0
7.315965,video,,,,,,,,0.079029,106.239325,0
7.332630,video,,,,,,,,-0.872860,105.811891,0
7.349295,video,,,,,,,,-0.079467,105.653178,0
7.365960,video,,,,,,,,0.944350,106.693326,0
7.382625,video,,,,,,,,0.948257,106.253775,0
7.399290,video,,,,,,,,0.949567,106.107258,0
7.415955,video,,,,,,,,0.397329,105.655616,0
7.432620,video,,,,,,,,0.556252,105.658055,0
7.449285,video,,,,,,,,1.424187,106.125470,0
7.465950,video,,,,,,,,1.038722,105.084197,0
7.482615,video,,,,,,,,2.223961,105.732717,0
7.499280,video,,,,,,,,0.937910,107.425911,0
7.515945,video,,,,,,,,1.426156,105.978979,0
7.532611,video,,,,,,,,2.303304,105.738504,0
7.549276,video,,,,,,,,1.424187,106.125470,0
7.565941,video,,,,,,,,1.346955,105.975433,0
7.582606,video,,,,,,,,1.267749,105.972089,0
7.599271,video,,,,,,,,1.031530,105.816762,0
7.615936,video,,,,,,,,0.950880,105.960742,0
7.632601,video,,,,,,,,0.079467,105.653178,0
7.649266,video,,,,,,,,-0.319193,105.215098,0
7.665931,video,,,,,,,,-0.639257,105.073468,0
7.682596,video,,,,,,,,0.157622,106.532700,0
7.699261,video,,,,,,,,-1.434087,105.393014,0
7.715926,video,,,,,,,,-1.358223,105.096457,0
7.732591,video,,,,,,,,-1.350690,105.682440,0
7.749256,video,,,,,,,,-0.474161,106.242862,0
7.765922,video,,,,,,,,-1.350690,105.682440,0
7.782587,video,,,,,,,,-1.348820,105.828936,0
7.799252,video,,,,,,,,-1.426156,105.978979,0
7.815917,video,,,,,,,,-0.945649,106.546809,0
7.832582,video,,,,,,,,-1.505352,105.982727,0
7.849247,video,,,,,,,,-0.945649,106.546809,0
7.865912,video,,,,,,,,-0.949567,106.107258,0
7.882577,video,,,,,,,,-0.944350,106.693326,0
7.899242,video,,,,,,,,-0.472857,106.535925,0
7.915907,video,,,,,,,,-0.471560,106.828989,0
7.932572,video,,,,,,,,-0.862115,107.130572,0
7.949237,video,,,,,,,,-1.098688,106.991578,0
7.965902,video,,,,,,,,-1.028681,106.109788,0
7.982567,video,,,,,,,,-0.548643,107.123356,0
7.999232,video,,,,,,,,-0.788063,106.542375,0
8.015898,video,,,,,,,,-0.550904,106.683765,0
8.032563,video,,,,,,,,-0.470914,106.975521,0
8.049228,video,,,,,,,,-0.395683,106.095217,0
8.065893,video,,,,,,,,-2.949959,105.353073,0
8.082558,video,,,,,,,,-0.474161,106.242862,0
8.115888,video,,,,,,,,-0.396230,105.948683,0
8.132553,video,,,,,,,,-0.382987,109.612020,0
8.149218,video,,,,,,,,-0.158494,105.946555,0
8.165883,video,,,,,,,,-0.158494,105.946555,0
8.182548,video,,,,,,,,-0.317425,105.801237,0
8.199213,video,,,,,,,,-0.158714,105.800019,0
8.215878,video,,,,,,,,-0.158494,105.946555,0
8.249208,video,,,,,,,,0.000000,106.678834,0
8.265874,video,,,,,,,,0.644651,104.194302,0
8.282539,video,,,,,,,,-0.158494,105.946555,0
8.299204,video,,,,,,,,0.000000,107.118445,0
8.315869,video,,,,,,,,-0.158494,105.946555,0
8.332534,video,,,,,,,,-0.396230,105.948683,0
8.349199,video,,,,,,,,-0.316548,106.094306,0
8.365864,video,,,,,,,,-0.157622,106.532700,0
8.382529,video,,,,,,,,0.000000,106.532297,0
8.399194,video,,,,,,,,-0.157622,106.532700,0
8.415859,video,,,,,,,,-0.474161,106.242862,0
8.432524,video,,,,,,,,-0.157190,106.825773,0
8.449189,video,,,,,,,,-0.079029,106.239325,0
8.465854,video,,,,,,,,-0.392969,106.827884,0
8.482519,video,,,,,,,,0.000000,106.971908,0
8.499184,video,,,,,,,,-0.391894,107.120950,0
8.515850,video,,,,,,,,-0.156760,107.118846,0
8.532515,video,,,,,,,,-0.394050,106.534817,0
